customerid;billing_date;monthlycharges;internetservice;onlinesecurity;onlinebackup;deviceprotection;techsupport;phone_lines;streaming
3d40ba9d86cc7b97612628a924cd63bc;2023-01-31;29.85;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-02-28;29.85;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-03-31;29.85;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-04-30;35.82;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-05-31;35.82;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-06-30;35.82;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-07-31;35.82;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-08-31;35.82;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-09-30;35.82;DSL;No;Yes;No;No;0;No
3d40ba9d86cc7b97612628a924cd63bc;2023-10-31;35.82;DSL;No;Yes;No;No;0;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-01-31;56.95;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-02-28;56.95;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-03-31;56.95;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-04-30;68.34;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-05-31;68.34;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-06-30;68.34;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-07-31;68.34;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-08-31;68.34;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-09-30;68.34;DSL;Yes;No;Yes;No;1;No
ce8db6bfb9d902d89f9dc36eb1fc7df9;2023-10-31;68.34;DSL;Yes;No;Yes;No;1;No
5cf42e9ba3bfa476bc222bebcf63f1a8;2023-01-31;53.85;DSL;Yes;Yes;No;No;1;No
5cf42e9ba3bfa476bc222bebcf63f1a8;2023-02-28;53.85;DSL;Yes;Yes;No;No;1;No
5cf42e9ba3bfa476bc222bebcf63f1a8;2023-03-31;64.62;DSL;Yes;Yes;No;No;1;No
5cf42e9ba3bfa476bc222bebcf63f1a8;2023-04-30;64.62;DSL;Yes;Yes;No;No;1;No
5cf42e9ba3bfa476bc222bebcf63f1a8;2023-05-13;64.62;DSL;Yes;Yes;No;No;1;No
84f664e4dcfa80ce511615bc91ca6692;2023-01-31;42.3;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-02-28;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-03-31;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-04-30;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-05-31;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-06-30;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-07-31;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-08-31;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-09-30;50.76;DSL;Yes;No;Yes;Yes;0;No
84f664e4dcfa80ce511615bc91ca6692;2023-10-31;50.76;DSL;Yes;No;Yes;Yes;0;No
0467f23d6b9e7891da40ed53339f5725;2023-01-31;70.7;Fiber optic;No;No;No;No;1;No
0467f23d6b9e7891da40ed53339f5725;2023-02-28;70.7;Fiber optic;No;No;No;No;1;No
0467f23d6b9e7891da40ed53339f5725;2023-03-31;84.84;Fiber optic;No;No;No;No;1;No
0467f23d6b9e7891da40ed53339f5725;2023-04-30;84.84;Fiber optic;No;No;No;No;1;No
0467f23d6b9e7891da40ed53339f5725;2023-05-31;84.84;Fiber optic;No;No;No;No;1;No
0467f23d6b9e7891da40ed53339f5725;2023-06-30;84.84;Fiber optic;No;No;No;No;1;No
0467f23d6b9e7891da40ed53339f5725;2023-07-31;84.84;Fiber optic;No;No;No;No;1;No
0467f23d6b9e7891da40ed53339f5725;2023-08-20;84.84;Fiber optic;No;No;No;No;1;No
a3eb2b52fe0a63d2351819270bcedbf6;2023-01-31;99.65;Fiber optic;No;No;Yes;No;2;Yes
a3eb2b52fe0a63d2351819270bcedbf6;2023-02-28;99.65;Fiber optic;No;No;Yes;No;2;Yes
a3eb2b52fe0a63d2351819270bcedbf6;2023-03-31;99.65;Fiber optic;No;No;Yes;No;2;Yes
a3eb2b52fe0a63d2351819270bcedbf6;2023-04-30;99.65;Fiber optic;No;No;Yes;No;2;Yes
a3eb2b52fe0a63d2351819270bcedbf6;2023-05-31;99.65;Fiber optic;No;No;Yes;No;2;Yes
